650 479 0
635 479 0
619 479 0
603 479 0
587 479 0
571 479 0
555 479 0
539 479 0
523 479 0
507 479 0
491 479 0
475 479 0
459 479 0
443 479 0
427 479 0
411 479 0
395 479 0
379 479 0
363 479 0
347 479 0
331 479 0
315 479 0
299 479 0
283 479 0
267 479 0
251 479 1
235 479 1
219 479 1
203 479 1
187 479 1
172 479 1
156 479 1
140 479 1
124 479 1
108 479 1
92 479 1
76 479 1
60 479 1
44 479 1
28 479 1
12 479 1
4 479 1
20 479 1
36 479 1
50 479 0
650 545 0
650 545 1
632 545 1
614 545 1
596 545 1
578 545 1
560 545 1
542 545 1
523 545 1
505 545 1
487 545 1
469 545 1
451 545 1
433 545 1
414 545 1
396 545 1
378 545 1
360 545 1
342 545 1
324 545 1
305 545 0
287 545 0
269 545 0
251 545 0
233 545 1
215 545 1
196 545 1
178 545 1
160 545 1
142 545 1
124 545 1
106 545 1
87 545 1
69 545 1
51 545 1
33 545 1
15 545 1
3 545 1
22 545 1
40 545 1
50 545 1
650 613 1
630 613 1
610 613 1
589 613 1
569 613 0
548 613 0
528 613 0
507 613 0
487 613 0
467 613 0
446 613 0
426 613 0
405 613 0
385 613 0
364 613 0
344 613 0
324 613 0
303 613 0
283 613 0
262 613 0
242 613 0
221 613 0
201 613 0
181 613 0
160 613 0
140 613 0
119 613 1
99 613 1
78 613 1
58 613 1
38 613 1
17 613 1
3 613 1
24 613 1
44 613 1
50 613 1
650 404 1
637 404 1
624 404 1
610 404 1
597 404 1
583 404 1
570 404 1
556 404 1
543 404 0
529 404 0
516 404 0
502 404 0
489 404 0
475 404 0
462 404 0
448 404 0
435 404 0
422 404 0
408 404 0
395 404 0
381 404 0
368 404 0
354 404 0
341 404 0
327 404 0
314 404 0
300 404 0
287 404 0
273 404 0
260 404 0
247 404 0
233 404 0
220 404 0
206 404 0
193 404 0
179 404 0
166 404 0
152 404 0
139 404 1
125 404 1
112 404 1
98 404 1
85 404 1
71 404 1
58 404 1
45 404 1
31 404 1
18 404 1
4 404 1
9 404 1
23 404 1
36 404 1
50 404 1
650 759 1
625 759 1
600 759 1
575 759 1
549 759 1
524 759 1
499 759 0
473 759 0
448 759 0
423 759 0
398 759 0
372 759 0
347 759 0
322 759 0
296 759 0
271 759 0
246 759 0
220 759 0
195 759 0
170 759 1
145 759 1
119 759 1
94 759 1
69 759 1
43 759 1
18 759 1
7 759 1
33 759 1
50 759 1
650 638 1
629 638 1
608 638 1
587 638 1
565 638 1
544 638 1
523 638 1
502 638 1
480 638 0
459 638 0
438 638 0
417 638 0
395 638 0
374 638 0
353 638 0
332 638 0
310 638 1
289 638 1
268 638 1
246 638 1
225 638 1
204 638 1
183 638 1
161 638 1
140 638 1
119 638 1
98 638 1
76 638 1
55 638 1
34 638 1
13 638 1
9 638 1
30 638 1
50 638 1
650 325 1
640 325 1
629 325 1
618 325 0
607 325 0
596 325 0
585 325 0
575 325 0
564 325 0
553 325 0
542 325 0
531 325 0
520 325 0
510 325 0
499 325 0
488 325 0
477 325 0
466 325 0
455 325 0
445 325 0
434 325 0
423 325 0
412 325 0
401 325 0
390 325 0
380 325 0
369 325 0
358 325 0
347 325 0
336 325 0
325 325 0
315 325 0
304 325 0
293 325 0
282 325 0
271 325 0
260 325 0
250 325 0
239 325 0
228 325 0
217 325 0
206 325 0
195 325 0
185 325 0
174 325 0
163 325 0
152 325 0
141 325 0
130 325 1
120 325 1
109 325 1
98 325 1
87 325 1
76 325 1
65 325 1
55 325 1
44 325 1
33 325 1
22 325 1
11 325 1
0 325 1
10 325 1
21 325 1
32 325 1
43 325 1
50 325 1
650 575 1
631 575 1
612 575 1
593 575 0
574 575 0
555 575 0
536 575 0
516 575 0
497 575 0
478 575 0
459 575 0
440 575 0
421 575 0
401 575 0
382 575 0
363 575 0
344 575 0
325 575 0
306 575 0
286 575 0
267 575 0
248 575 0
229 575 0
210 575 0
191 575 0
171 575 1
152 575 1
133 575 1
114 575 1
95 575 1
76 575 1
56 575 1
37 575 1
18 575 1
1 575 1
20 575 1
39 575 1
50 575 1
650 675 1
628 675 1
605 675 1
583 675 1
560 675 1
538 675 1
515 675 1
493 675 0
470 675 0
448 675 0
425 675 0
403 675 0
380 675 0
358 675 0
335 675 0
313 675 0
290 675 0
268 675 0
245 675 0
223 675 0
200 675 0
178 675 0
155 675 1
133 675 1
110 675 1
88 675 1
65 675 1
43 675 1
20 675 1
2 675 1
25 675 1
47 675 1
50 675 1
650 603 1
630 603 1
610 603 1
590 603 1
570 603 1
550 603 1
530 603 1
510 603 1
490 603 0
470 603 0
449 603 0
429 603 0
409 603 0
389 603 0
369 603 0
349 603 0
