637,412,0
623,412,0
609,412,0
596,412,0
582,412,0
568,412,0
554,412,0
541,412,0
527,412,0
513,412,0
499,412,0
486,412,0
472,412,0
458,412,0
444,412,0
431,412,0
417,412,0
403,412,0
390,412,0
376,412,0
362,412,0
348,412,0
335,412,0
321,412,0
307,412,0
293,412,0
280,412,0
266,412,0
252,412,0
238,412,0
225,412,0
211,412,0
197,412,0
184,412,0
170,412,1
156,412,1
142,412,1
129,412,1
115,412,1
101,412,1
87,412,1
74,412,1
60,412,1
46,412,1
32,412,1
19,412,1
5,412,1
9,412,1
22,412,1
36,412,1
50,412,1
650,491,1
634,491,1
618,491,1
601,491,1
585,491,0
569,491,0
552,491,0
536,491,0
520,491,0
503,491,0
487,491,0
470,491,0
454,491,0
438,491,0
421,491,0
405,491,0
389,491,0
372,491,0
356,491,0
340,491,0
323,491,0
307,491,0
290,491,0
274,491,0
258,491,0
241,491,0
225,491,0
209,491,0
192,491,0
176,491,0
159,491,0
143,491,1
127,491,1
110,491,1
94,491,1
78,491,1
61,491,1
45,491,1
29,491,1
12,491,1
4,491,1
21,491,1
37,491,1
50,491,1
650,683,1
628,683,1
605,683,1
582,683,1
559,683,1
537,683,1
514,683,1
491,683,0
468,683,0
446,683,0
423,683,0
400,683,0
377,683,0
355,683,0
332,683,0
309,683,0
286,683,0
263,683,0
241,683,0
218,683,0
195,683,0
172,683,0
150,683,0
127,683,0
104,683,0
81,683,0
59,683,1
36,683,1
650,799,1
624,799,1
597,799,1
571,799,1
544,799,0
517,799,0
491,799,0
464,799,0
437,799,0
411,799,0
384,799,0
358,799,0
331,799,0
304,799,0
278,799,0
251,799,0
224,799,0
198,799,0
171,799,1
144,799,1
118,799,1
91,799,1
65,799,1
38,799,1
11,799,1
15,799,1
42,799,1
50,799,1
650,776,1
625,776,1
599,776,1
573,776,1
547,776,1
521,776,1
495,776,1
469,776,1
444,776,0
418,776,0
392,776,0
366,776,0
340,776,0
314,776,0
288,776,1
262,776,1
237,776,1
211,776,1
185,776,1
159,776,1
133,776,1
107,776,1
81,776,1
56,776,1
30,776,1
4,776,1
22,776,1
48,776,1
50,776,1
650,572,1
631,572,1
612,572,1
593,572,1
574,572,1
555,572,1
536,572,0
517,572,0
498,572,0
479,572,0
460,572,0
441,572,0
422,572,0
403,572,1
384,572,1
364,572,1
345,572,1
326,572,1
307,572,1
288,572,1
269,572,1
250,572,1
231,572,1
212,572,1
193,572,1
174,572,1
155,572,1
136,572,1
117,572,1
98,572,1
78,572,1
59,572,1
40,572,0
650,769,0
625,769,0
599,769,0
574,769,0
548,769,0
522,769,0
497,769,0
471,769,0
445,769,0
420,769,0
394,769,0
369,769,0
343,769,0
317,769,0
292,769,0
266,769,0
240,769,0
215,769,0
189,769,0
163,769,0
138,769,0
112,769,0
87,769,0
61,769,0
35,769,0
650,559,0
632,559,0
613,559,0
595,559,0
576,559,0
557,559,0
539,559,0
520,559,0
501,559,0
483,559,0
464,559,0
446,559,0
427,559,0
408,559,0
390,559,0
371,559,0
352,559,0
334,559,0
315,559,0
296,559,0
278,559,0
259,559,0
241,559,1
222,559,1
203,559,1
185,559,1
166,559,1
147,559,1
129,559,1
110,559,1
92,559,1
73,559,1
54,559,1
36,559,1
17,559,1
2,559,1
20,559,1
39,559,1
50,559,1
650,704,1
627,704,1
604,704,1
580,704,1
557,704,0
533,704,0
510,704,0
486,704,0
463,704,0
439,704,0
416,704,0
392,704,0
369,704,0
345,704,0
322,704,0
298,704,0
275,704,0
252,704,0
228,704,0
205,704,0
181,704,0
158,704,0
134,704,1
111,704,1
87,704,1
64,704,1
40,704,1
17,704,1
7,704,1
30,704,1
50,704,1
650,502,1
634,502,1
617,502,1
600,502,1
584,502,1
567,502,1
550,502,1
533,502,1
517,502,0
500,502,0
483,502,0
466,502,0
450,502,0
433,502,0
416,502,0
399,502,0
383,502,0
366,502,0
349,502,0
333,502,0
316,502,0
299,502,0
282,502,0
266,502,0
249,502,1
232,502,1
215,502,1
199,502,1
182,502,1
165,502,1
148,502,1
132,502,1
115,502,1
98,502,1
82,502,1
65,502,1
48,502,1
31,502,1
15,502,1
2,502,1
19,502,1
36,502,1
50,502,1
650,586,1
650,586,0
631,586,0
611,586,0
592,586,0
572,586,0
553,586,0
533,586,0
514,586,0
494,586,0
475,586,0
455,586,0
436,586,0
416,586,0
397,586,0
377,586,0
358,586,0
338,586,0
318,586,0
299,586,0
279,586,0
260,586,0
240,586,0
221,586,0
201,586,1
182,586,1
162,586,1
143,586,1
123,586,1
104,586,1
84,586,1
65,586,1
45,586,1
25,586,1
